simulation,month,alive,deaths,births,males,females,mature,pregnant
3,0,10000,575,0,4879,5121,10000,0
3,1,9425,484,1050,4584,4841,9425,240
3,2,9991,752,1909,4885,5106,8941,426
3,3,11148,1138,1719,5506,5642,8427,388
3,4,11729,1239,1687,5767,5962,7944,376
3,5,12177,1544,2409,5985,6192,7557,536
3,6,13042,1839,3314,6405,6637,7169,737
3,7,14517,2308,3738,7152,7365,6926,826
3,8,15947,2640,4473,7890,8057,6870,1004
3,9,17780,3211,5307,8784,8996,6810,1179
3,10,19876,3733,5827,9844,10032,6671,1291
3,11,21970,4284,6335,10857,11113,6557,1416
3,12,24021,4866,6913,11807,12214,6659,1539
3,13,26068,5388,6833,12911,13157,6828,1520
3,14,27513,5872,6561,13574,13939,6961,1460
3,15,28202,6019,7052,13960,14242,7304,1565
3,16,29235,6388,7505,14567,14668,7614,1667
3,17,30352,6660,7333,15181,15171,7867,1624
3,18,31025,6795,7337,15532,15493,8211,1615
3,19,31567,7066,7497,15798,15769,8441,1673
3,20,31998,7103,7129,15977,16021,8504,1588
3,21,32024,7389,7253,15898,16126,8542,1606
3,22,31888,7264,7288,15819,16069,8543,1607
3,23,31912,7361,6984,15916,15996,8642,1557
3,24,31535,7207,7070,15807,15728,8662,1556
3,25,31398,7181,7024,15728,15670,8695,1578
3,26,31241,7166,7114,15566,15675,8587,1570
3,27,31189,7128,7084,15424,15765,8558,1573
3,28,31145,7232,7233,15467,15678,8521,1618
3,29,31146,7153,6990,15430,15716,8366,1544
3,30,30983,7130,6914,15433,15550,8316,1532
3,31,30767,7066,6996,15369,15398,8256,1558
3,32,30697,7173,7069,15305,15392,8174,1572
3,33,30593,7232,7140,15207,15386,8120,1602
3,34,30501,7187,6966,15174,15327,7993,1556
3,35,30280,7205,6819,15117,15163,7791,1514
3,36,29894,6975,6721,14994,14900,7666,1502
3,37,29640,6986,6929,14937,14703,7535,1525
3,38,29583,7087,6325,14811,14772,7552,1406
3,39,28821,6662,6800,14478,14343,7472,1503
